StationID,StateID,State,Region,City,StationName,StationType,TotalChargers,Status,InstallationDate
1077,20,Punjab,North,Punjab City 5,EV Station 1077,Highway,3,Active,2024-09-04
1078,28,West Bengal,East,West City 7,EV Station 1078,Public,2,Active,2026-01-28
1079,23,Tamil Nadu,South,Tamil City 8,EV Station 1079,Workplace,5,Inactive,2026-03-25
1080,6,Goa,West,Goa City 7,EV Station 1080,Petrol_Pump,4,Maintenance,2025-09-20
1081,21,Rajasthan,North,Rajasthan City 6,EV Station 1081,Fleet,15,Active,2025-04-04
1082,17,Mizoram,Northeast,Mizoram City 7,EV Station 1082,Public,4,Active,2024-04-24
1083,1,Andhra Pradesh,South,Andhra City 6,EV Station 1083,Workplace,3,Active,2025-07-11
1084,6,Goa,West,Goa City 6,EV Station 1084,Fleet,9,Active,2025-10-20
1085,30,Jammu and Kashmir,North,Jammu City 7,EV Station 1085,Workplace,18,Maintenance,2025-02-27
1086,24,Telangana,South,Telangana City 6,EV Station 1086,Highway,7,Active,2025-10-23
1087,16,Meghalaya,Northeast,Meghalaya City 1,EV Station 1087,Workplace,15,Active,2026-06-17
1088,10,Jharkhand,East,Jharkhand City 3,EV Station 1088,Public,14,Active,2025-12-18
1089,9,Himachal Pradesh,North,Himachal City 3,EV Station 1089,Fleet,20,Active,2025-02-01
1090,24,Telangana,South,Telangana City 6,EV Station 1090,Petrol_Pump,5,Active,2025-04-09
1091,30,Jammu and Kashmir,North,Jammu City 1,EV Station 1091,Public,15,Active,2026-01-08
1092,9,Himachal Pradesh,North,Himachal City 3,EV Station 1092,Public,5,Active,2026-02-14
1093,2,Arunachal Pradesh,Northeast,Arunachal City 1,EV Station 1093,Petrol_Pump,15,Active,2025-09-23
1094,23,Tamil Nadu,South,Tamil City 8,EV Station 1094,Petrol_Pump,18,Active,2026-02-17
1095,14,Maharashtra,West,Maharashtra City 2,EV Station 1095,Petrol_Pump,6,Active,2026-05-18
1096,3,Assam,Northeast,Assam City 4,EV Station 1096,Public,10,Maintenance,2024-11-19
1097,3,Assam,Northeast,Assam City 1,EV Station 1097,Highway,2,Active,2024-10-27
1098,23,Tamil Nadu,South,Tamil City 7,EV Station 1098,Fleet,13,Maintenance,2025-10-20
1099,26,Uttar Pradesh,North,Uttar City 4,EV Station 1099,Petrol_Pump,9,Active,2026-03-29
1100,6,Goa,West,Goa City 4,EV Station 1100,Public,20,Active,2026-04-02
1101,7,Gujarat,West,Gujarat City 4,EV Station 1101,Fleet,5,Active,2024-03-16
1102,13,Madhya Pradesh,Central,Madhya City 3,EV Station 1102,Fleet,3,Active,2024-06-10
1103,27,Uttarakhand,North,Uttarakhand City 7,EV Station 1103,Public,2,Active,2024-03-27
1104,6,Goa,West,Goa City 6,EV Station 1104,Public,19,Active,2025-07-26
1105,12,Kerala,South,Kerala City 6,EV Station 1105,Highway,9,Active,2025-01-14
1106,10,Jharkhand,East,Jharkhand City 1,EV Station 1106,Public,14,Active,2026-05-16
1107,8,Haryana,North,Haryana City 6,EV Station 1107,Workplace,17,Active,2026-04-03
1108,17,Mizoram,Northeast,Mizoram City 5,EV Station 1108,Petrol_Pump,7,Active,2024-10-28
1109,17,Mizoram,Northeast,Mizoram City 6,EV Station 1109,Workplace,2,Inactive,2026-03-17
1110,21,Rajasthan,North,Rajasthan City 5,EV Station 1110,Public,11,Active,2025-01-16
1111,9,Himachal Pradesh,North,Himachal City 1,EV Station 1111,Petrol_Pump,18,Maintenance,2025-06-12
1112,24,Telangana,South,Telangana City 5,EV Station 1112,Workplace,8,Active,2024-02-10
1113,7,Gujarat,West,Gujarat City 5,EV Station 1113,Workplace,15,Active,2024-11-28
1114,14,Maharashtra,West,Maharashtra City 5,EV Station 1114,Public,9,Active,2024-11-27
1115,8,Haryana,North,Haryana City 8,EV Station 1115,Petrol_Pump,14,Active,2024-10-27
1116,26,Uttar Pradesh,North,Uttar City 7,EV Station 1116,Fleet,6,Active,2024-06-01
1117,27,Uttarakhand,North,Uttarakhand City 6,EV Station 1117,Petrol_Pump,16,Active,2025-11-19
1118,15,Manipur,Northeast,Manipur City 4,EV Station 1118,Highway,19,Active,2024-11-19
1119,30,Jammu and Kashmir,North,Jammu City 1,EV Station 1119,Fleet,19,Active,2025-10-20
1120,15,Manipur,Northeast,Manipur City 4,EV Station 1120,Fleet,18,Active,2024-11-27
1121,26,Uttar Pradesh,North,Uttar City 3,EV Station 1121,Public,8,Active,2026-03-07
1122,9,Himachal Pradesh,North,Himachal City 2,EV Station 1122,Highway,20,Inactive,2024-07-28
1123,19,Odisha,East,Odisha City 6,EV Station 1123,Public,8,Active,2024-03-24
1124,6,Goa,West,Goa City 3,EV Station 1124,Petrol_Pump,3,Active,2025-01-21
1125,16,Meghalaya,Northeast,Meghalaya City 6,EV Station 1125,Highway,18,Maintenance,2024-09-24
1126,3,Assam,Northeast,Assam City 3,EV Station 1126,Public,14,Inactive,2024-12-22
1127,21,Rajasthan,North,Rajasthan City 6,EV Station 1127,Public,7,Active,2025-03-13
1128,11,Karnataka,South,Karnataka City 2,EV Station 1128,Fleet,4,Active,2024-03-13
1129,21,Rajasthan,North,Rajasthan City 6,EV Station 1129,Highway,13,Active,2026-03-10
1130,3,Assam,Northeast,Assam City 3,EV Station 1130,Fleet,13,Maintenance,2024-03-03
1131,23,Tamil Nadu,South,Tamil City 8,EV Station 1131,Workplace,17,Inactive,2026-04-04
1132,22,Sikkim,Northeast,Sikkim City 4,EV Station 1132,Fleet,2,Active,2025-11-09
1133,2,Arunachal Pradesh,Northeast,Arunachal City 8,EV Station 1133,Fleet,6,Active,2024-07-14
1134,5,Chhattisgarh,Central,Chhattisgarh City 8,EV Station 1134,Public,2,Active,2026-02-25
1135,29,Delhi,North,Delhi City 2,EV Station 1135,Fleet,19,Active,2025-03-02
1136,15,Manipur,Northeast,Manipur City 7,EV Station 1136,Workplace,12,Active,2026-05-30
1137,6,Goa,West,Goa City 8,EV Station 1137,Petrol_Pump,9,Active,2025-11-18
1138,20,Punjab,North,Punjab City 8,EV Station 1138,Fleet,7,Active,2024-01-31
1139,4,Bihar,East,Bihar City 1,EV Station 1139,Petrol_Pump,19,Active,2025-01-10
1140,24,Telangana,South,Telangana City 3,EV Station 1140,Workplace,12,Active,2025-10-27
1141,27,Uttarakhand,North,Uttarakhand City 6,EV Station 1141,Workplace,11,Active,2026-03-28
1142,6,Goa,West,Goa City 3,EV Station 1142,Petrol_Pump,16,Active,2025-06-25
1143,10,Jharkhand,East,Jharkhand City 5,EV Station 1143,Highway,6,Inactive,2024-05-03
1144,5,Chhattisgarh,Central,Chhattisgarh City 3,EV Station 1144,Fleet,19,Maintenance,2025-01-03
1145,29,Delhi,North,Delhi City 5,EV Station 1145,Workplace,16,Active,2024-04-18
1146,16,Meghalaya,Northeast,Meghalaya City 6,EV Station 1146,Fleet,6,Active,2025-05-03
1147,17,Mizoram,Northeast,Mizoram City 5,EV Station 1147,Highway,14,Active,2026-03-31
1148,27,Uttarakhand,North,Uttarakhand City 7,EV Station 1148,Workplace,4,Inactive,2024-12-19
1149,13,Madhya Pradesh,Central,Madhya City 3,EV Station 1149,Highway,18,Active,2025-01-17
1150,12,Kerala,South,Kerala City 5,EV Station 1150,Fleet,12,Active,2026-04-15
1151,19,Odisha,East,Odisha City 1,EV Station 1151,Fleet,4,Active,2024-05-18
1152,4,Bihar,East,Bihar City 3,EV Station 1152,Petrol_Pump,18,Active,2026-02-02
1153,18,Nagaland,Northeast,Nagaland City 8,EV Station 1153,Public,20,Active,2026-05-02
1154,8,Haryana,North,Haryana City 4,EV Station 1154,Petrol_Pump,18,Active,2024-06-12
1155,22,Sikkim,Northeast,Sikkim City 3,EV Station 1155,Workplace,3,Active,2025-11-15
1156,15,Manipur,Northeast,Manipur City 4,EV Station 1156,Petrol_Pump,12,Active,2025-04-20
1157,5,Chhattisgarh,Central,Chhattisgarh City 1,EV Station 1157,Fleet,10,Inactive,2025-06-07
1158,6,Goa,West,Goa City 1,EV Station 1158,Workplace,20,Inactive,2024-10-30
1159,12,Kerala,South,Kerala City 4,EV Station 1159,Fleet,7,Active,2026-01-31
1160,4,Bihar,East,Bihar City 6,EV Station 1160,Workplace,2,Active,2025-02-10
1161,15,Manipur,Northeast,Manipur City 3,EV Station 1161,Workplace,20,Active,2025-04-09
1162,19,Odisha,East,Odisha City 5,EV Station 1162,Workplace,19,Active,2025-11-17
1163,15,Manipur,Northeast,Manipur City 4,EV Station 1163,Petrol_Pump,4,Maintenance,2026-04-19
1164,20,Punjab,North,Punjab City 5,EV Station 1164,Public,18,Active,2026-01-06
1165,8,Haryana,North,Haryana City 3,EV Station 1165,Workplace,6,Active,2025-12-20
1166,18,Nagaland,Northeast,Nagaland City 8,EV Station 1166,Petrol_Pump,12,Active,2025-07-19
1167,10,Jharkhand,East,Jharkhand City 2,EV Station 1167,Petrol_Pump,17,Active,2025-11-11
1168,24,Telangana,South,Telangana City 3,EV Station 1168,Public,16,Active,2024-01-19
1169,18,Nagaland,Northeast,Nagaland City 8,EV Station 1169,Highway,18,Active,2024-11-22
1170,30,Jammu and Kashmir,North,Jammu City 7,EV Station 1170,Workplace,2,Active,2024-01-25
1171,5,Chhattisgarh,Central,Chhattisgarh City 1,EV Station 1171,Petrol_Pump,14,Active,2025-10-09
1172,5,Chhattisgarh,Central,Chhattisgarh City 4,EV Station 1172,Public,2,Active,2025-06-30
1173,2,Arunachal Pradesh,Northeast,Arunachal City 7,EV Station 1173,Public,3,Active,2025-02-17
1174,6,Goa,West,Goa City 3,EV Station 1174,Workplace,9,Active,2024-07-06
1175,13,Madhya Pradesh,Central,Madhya City 5,EV Station 1175,Highway,14,Active,2024-05-02
1176,6,Goa,West,Goa City 8,EV Station 1176,Highway,9,Active,2025-01-09
1177,2,Arunachal Pradesh,Northeast,Arunachal City 2,EV Station 1177,Fleet,17,Active,2024-07-06
1178,2,Arunachal Pradesh,Northeast,Arunachal City 2,EV Station 1178,Highway,14,Active,2024-04-20
1179,28,West Bengal,East,West City 2,EV Station 1179,Workplace,9,Active,2025-09-23
1180,30,Jammu and Kashmir,North,Jammu City 7,EV Station 1180,Workplace,8,Active,2026-03-17
1181,1,Andhra Pradesh,South,Andhra City 1,EV Station 1181,Public,14,Active,2025-02-06
1182,21,Rajasthan,North,Rajasthan City 3,EV Station 1182,Public,18,Active,2024-01-23
1183,30,Jammu and Kashmir,North,Jammu City 2,EV Station 1183,Highway,5,Active,2025-07-19
1184,20,Punjab,North,Punjab City 4,EV Station 1184,Highway,15,Active,2025-02-15
1185,14,Maharashtra,West,Maharashtra City 4,EV Station 1185,Petrol_Pump,16,Active,2024-01-30
1186,4,Bihar,East,Bihar City 5,EV Station 1186,Workplace,9,Active,2024-01-12
1187,23,Tamil Nadu,South,Tamil City 7,EV Station 1187,Highway,19,Active,2024-12-19
1188,11,Karnataka,South,Karnataka City 1,EV Station 1188,Fleet,18,Maintenance,2024-08-28
1189,26,Uttar Pradesh,North,Uttar City 5,EV Station 1189,Highway,19,Active,2024-10-20
1190,17,Mizoram,Northeast,Mizoram City 7,EV Station 1190,Highway,9,Maintenance,2025-01-24
1191,5,Chhattisgarh,Central,Chhattisgarh City 4,EV Station 1191,Public,12,Maintenance,2025-07-30
1192,11,Karnataka,South,Karnataka City 3,EV Station 1192,Public,3,Active,2025-09-03
1193,18,Nagaland,Northeast,Nagaland City 7,EV Station 1193,Workplace,14,Active,2024-06-25
1194,6,Goa,West,Goa City 8,EV Station 1194,Fleet,20,Active,2025-02-04
1195,26,Uttar Pradesh,North,Uttar City 7,EV Station 1195,Highway,2,Maintenance,2025-09-23
1196,23,Tamil Nadu,South,Tamil City 2,EV Station 1196,Petrol_Pump,12,Active,2025-06-19
1197,12,Kerala,South,Kerala City 3,EV Station 1197,Public,5,Maintenance,2025-08-28
1198,9,Himachal Pradesh,North,Himachal City 5,EV Station 1198,Fleet,20,Active,2025-10-13
1199,5,Chhattisgarh,Central,Chhattisgarh City 2,EV Station 1199,Public,6,Active,2024-10-30
1200,7,Gujarat,West,Gujarat City 4,EV Station 1200,Public,4,Active,2026-02-06
1201,14,Maharashtra,West,Maharashtra City 3,EV Station 1201,Fleet,10,Active,2024-01-13
1202,18,Nagaland,Northeast,Nagaland City 5,EV Station 1202,Petrol_Pump,5,Active,2025-06-11
1203,9,Himachal Pradesh,North,Himachal City 1,EV Station 1203,Workplace,2,Active,2025-09-12
1204,23,Tamil Nadu,South,Tamil City 5,EV Station 1204,Petrol_Pump,3,Maintenance,2025-12-28
1205,8,Haryana,North,Haryana City 7,EV Station 1205,Fleet,19,Active,2024-01-28
1206,6,Goa,West,Goa City 4,EV Station 1206,Fleet,9,Active,2025-03-13
1207,1,Andhra Pradesh,South,Andhra City 4,EV Station 1207,Petrol_Pump,12,Active,2025-06-08
1208,25,Tripura,Northeast,Tripura City 1,EV Station 1208,Highway,13,Active,2025-08-08
1209,14,Maharashtra,West,Maharashtra City 5,EV Station 1209,Petrol_Pump,7,Active,2026-02-08
1210,22,Sikkim,Northeast,Sikkim City 1,EV Station 1210,Fleet,15,Inactive,2025-11-05
1211,25,Tripura,Northeast,Tripura City 3,EV Station 1211,Public,13,Active,2026-06-02
1212,24,Telangana,South,Telangana City 5,EV Station 1212,Workplace,5,Inactive,2024-07-06
1213,26,Uttar Pradesh,North,Uttar City 6,EV Station 1213,Public,17,Active,2024-04-13
1214,28,West Bengal,East,West City 2,EV Station 1214,Fleet,11,Maintenance,2025-11-04
1215,5,Chhattisgarh,Central,Chhattisgarh City 6,EV Station 1215,Petrol_Pump,2,Active,2025-06-02
1216,20,Punjab,North,Punjab City 1,EV Station 1216,Fleet,17,Active,2025-04-28
1217,13,Madhya Pradesh,Central,Madhya City 7,EV Station 1217,Fleet,16,Active,2025-04-01
1218,11,Karnataka,South,Karnataka City 8,EV Station 1218,Public,9,Active,2024-02-28
1219,4,Bihar,East,Bihar City 8,EV Station 1219,Workplace,10,Active,2024-08-13
1220,28,West Bengal,East,West City 5,EV Station 1220,Fleet,13,Inactive,2025-05-30
1221,26,Uttar Pradesh,North,Uttar City 8,EV Station 1221,Public,6,Active,2025-08-30
1222,20,Punjab,North,Punjab City 2,EV Station 1222,Workplace,16,Active,2024-08-20
1223,17,Mizoram,Northeast,Mizoram City 3,EV Station 1223,Highway,13,Active,2024-12-27
1224,25,Tripura,Northeast,Tripura City 2,EV Station 1224,Public,11,Active,2024-09-23
1225,13,Madhya Pradesh,Central,Madhya City 5,EV Station 1225,Fleet,16,Active,2024-02-18
1226,15,Manipur,Northeast,Manipur City 4,EV Station 1226,Fleet,16,Maintenance,2025-11-16
1227,18,Nagaland,Northeast,Nagaland City 2,EV Station 1227,Public,19,Active,2025-08-18
1228,20,Punjab,North,Punjab City 1,EV Station 1228,Workplace,2,Active,2025-02-25
1229,27,Uttarakhand,North,Uttarakhand City 2,EV Station 1229,Petrol_Pump,15,Active,2025-01-24
1230,6,Goa,West,Goa City 6,EV Station 1230,Highway,15,Inactive,2024-10-28
1231,13,Madhya Pradesh,Central,Madhya City 7,EV Station 1231,Workplace,7,Active,2025-03-03
1232,13,Madhya Pradesh,Central,Madhya City 3,EV Station 1232,Fleet,2,Active,2026-01-21
1233,11,Karnataka,South,Karnataka City 5,EV Station 1233,Highway,12,Active,2025-11-11
1234,16,Meghalaya,Northeast,Meghalaya City 4,EV Station 1234,Workplace,17,Active,2026-04-11
1235,27,Uttarakhand,North,Uttarakhand City 2,EV Station 1235,Public,13,Active,2025-08-23
1236,18,Nagaland,Northeast,Nagaland City 3,EV Station 1236,Highway,7,Active,2025-09-11
1237,19,Odisha,East,Odisha City 5,EV Station 1237,Workplace,3,Active,2025-09-10
1238,11,Karnataka,South,Karnataka City 5,EV Station 1238,Highway,3,Active,2025-06-03
1239,13,Madhya Pradesh,Central,Madhya City 2,EV Station 1239,Fleet,16,Active,2025-03-02
1240,7,Gujarat,West,Gujarat City 1,EV Station 1240,Workplace,19,Active,2024-04-02
1241,22,Sikkim,Northeast,Sikkim City 4,EV Station 1241,Public,6,Inactive,2025-07-01
1242,5,Chhattisgarh,Central,Chhattisgarh City 4,EV Station 1242,Fleet,11,Active,2025-12-28
1243,10,Jharkhand,East,Jharkhand City 4,EV Station 1243,Highway,9,Active,2025-09-04
1244,27,Uttarakhand,North,Uttarakhand City 1,EV Station 1244,Petrol_Pump,4,Inactive,2026-01-09
1245,9,Himachal Pradesh,North,Himachal City 6,EV Station 1245,Workplace,3,Active,2024-05-08
1246,25,Tripura,Northeast,Tripura City 5,EV Station 1246,Public,4,Active,2025-02-07
1247,21,Rajasthan,North,Rajasthan City 6,EV Station 1247,Workplace,4,Active,2024-12-24
1248,27,Uttarakhand,North,Uttarakhand City 2,EV Station 1248,Public,19,Active,2026-05-10
1249,20,Punjab,North,Punjab City 5,EV Station 1249,Workplace,19,Active,2024-04-23
1250,1,Andhra Pradesh,South,Andhra City 2,EV Station 1250,Highway,14,Active,2025-09-19
1251,23,Tamil Nadu,South,Tamil City 2,EV Station 1251,Workplace,12,Maintenance,2024-04-14
1252,5,Chhattisgarh,Central,Chhattisgarh City 2,EV Station 1252,Public,18,Active,2024-12-19
1253,24,Telangana,South,Telangana City 5,EV Station 1253,Public,5,Active,2024-09-12
1254,11,Karnataka,South,Karnataka City 8,EV Station 1254,Workplace,4,Inactive,2026-06-01
1255,19,Odisha,East,Odisha City 5,EV Station 1255,Fleet,8,Active,2024-11-22
1256,26,Uttar Pradesh,North,Uttar City 8,EV Station 1256,Petrol_Pump,15,Active,2026-03-01
1257,10,Jharkhand,East,Jharkhand City 4,EV Station 1257,Highway,14,Active,2025-07-06
1258,16,Meghalaya,Northeast,Meghalaya City 3,EV Station 1258,Fleet,15,Maintenance,2025-04-19
1259,4,Bihar,East,Bihar City 2,EV Station 1259,Workplace,6,Active,2025-12-07
1260,15,Manipur,Northeast,Manipur City 8,EV Station 1260,Workplace,9,Active,2025-06-19
1261,24,Telangana,South,Telangana City 2,EV Station 1261,Fleet,4,Active,2025-03-08
1262,23,Tamil Nadu,South,Tamil City 5,EV Station 1262,Fleet,14,Active,2026-05-12
1263,30,Jammu and Kashmir,North,Jammu City 5,EV Station 1263,Public,7,Active,2026-04-04
1264,10,Jharkhand,East,Jharkhand City 8,EV Station 1264,Petrol_Pump,4,Active,2024-12-07
1265,15,Manipur,Northeast,Manipur City 4,EV Station 1265,Fleet,13,Active,2025-05-25
1266,4,Bihar,East,Bihar City 7,EV Station 1266,Public,6,Active,2026-04-05
1267,18,Nagaland,Northeast,Nagaland City 6,EV Station 1267,Petrol_Pump,17,Active,2024-07-24
1268,25,Tripura,Northeast,Tripura City 6,EV Station 1268,Workplace,16,Active,2026-01-09
1269,7,Gujarat,West,Gujarat City 8,EV Station 1269,Petrol_Pump,9,Active,2024-09-28
1270,27,Uttarakhand,North,Uttarakhand City 7,EV Station 1270,Highway,11,Active,2026-02-05
1271,30,Jammu and Kashmir,North,Jammu City 1,EV Station 1271,Public,12,Inactive,2025-12-26
1272,25,Tripura,Northeast,Tripura City 1,EV Station 1272,Fleet,17,Active,2024-04-20
1273,25,Tripura,Northeast,Tripura City 3,EV Station 1273,Petrol_Pump,6,Active,2026-01-22
1274,1,Andhra Pradesh,South,Andhra City 7,EV Station 1274,Public,20,Active,2024-03-21
1275,9,Himachal Pradesh,North,Himachal City 7,EV Station 1275,Highway,9,Active,2026-06-09
1276,6,Goa,West,Goa City 1,EV Station 1276,Highway,8,Maintenance,2025-08-15
1277,2,Arunachal Pradesh,Northeast,Arunachal City 3,EV Station 1277,Public,10,Active,2024-09-18
1278,20,Punjab,North,Punjab City 4,EV Station 1278,Petrol_Pump,4,Active,2025-07-28
1279,17,Mizoram,Northeast,Mizoram City 4,EV Station 1279,Petrol_Pump,2,Active,2025-04-18
1280,15,Manipur,Northeast,Manipur City 4,EV Station 1280,Fleet,19,Active,2026-04-30
1281,11,Karnataka,South,Karnataka City 4,EV Station 1281,Workplace,9,Inactive,2026-03-11
1282,14,Maharashtra,West,Maharashtra City 2,EV Station 1282,Petrol_Pump,5,Active,2024-11-10
1283,29,Delhi,North,Delhi City 3,EV Station 1283,Public,2,Active,2024-06-16
1284,19,Odisha,East,Odisha City 5,EV Station 1284,Public,6,Active,2025-06-08
