SessionID,StationID,StateID,State,StartTime,EndTime,DurationMinutes,EnergyConsumedKWh,RatePerKWh,Amount,PaymentMethod,SessionStatus
10088,1294,1,Andhra Pradesh,2026-01-09 18:07:00,2026-01-09 20:45:00,158,54.95,22.85,1255.61,RFID,Completed
10089,1235,27,Uttarakhand,2025-09-14 15:51:00,2025-09-14 17:13:00,82,38.29,19.78,757.38,Wallet,Completed
10090,1091,30,Jammu and Kashmir,2026-04-03 20:05:00,2026-04-03 20:40:00,35,60.46,17.14,1036.28,Wallet,Completed
10091,1593,10,Jharkhand,2025-08-10 02:55:00,2025-08-10 04:24:00,89,80.92,14.14,1144.21,Card,Completed
10092,1207,1,Andhra Pradesh,2025-12-27 23:10:00,2025-12-28 00:16:00,66,73.92,17.29,1278.08,UPI,Cancelled
10093,1221,26,Uttar Pradesh,2025-11-21 03:43:00,2025-11-21 05:59:00,136,58.12,20.34,1182.16,Wallet,Completed
10094,1568,27,Uttarakhand,2025-01-08 02:04:00,2025-01-08 03:52:00,108,47.49,16.59,787.86,RFID,Completed
10095,1129,21,Rajasthan,2026-08-15 16:24:00,2026-08-15 19:07:00,163,41.6,18.73,779.17,RFID,Completed
10096,1257,10,Jharkhand,2026-07-28 00:57:00,2026-07-28 03:52:00,175,68.48,18.16,1243.6,Wallet,Completed
10097,1025,13,Madhya Pradesh,2025-06-28 08:05:00,2025-06-28 09:49:00,104,22.46,15.42,346.33,Wallet,Completed
10098,1066,30,Jammu and Kashmir,2026-04-25 22:05:00,2026-04-25 23:17:00,72,76.22,18.98,1446.66,RFID,Completed
10099,1168,24,Telangana,2025-09-15 10:49:00,2025-09-15 12:59:00,130,12.19,21.34,260.13,Wallet,Failed
10100,1043,18,Nagaland,2026-01-02 04:02:00,2026-01-02 06:11:00,129,88.04,12.68,1116.35,Wallet,Completed
10101,1115,8,Haryana,2025-12-20 12:42:00,2025-12-20 15:18:00,156,57.03,16.51,941.57,Card,Completed
10102,1519,18,Nagaland,2026-01-28 07:35:00,2026-01-28 09:14:00,99,28.94,17.55,507.9,Wallet,Completed
10103,1181,1,Andhra Pradesh,2025-09-03 01:08:00,2025-09-03 03:02:00,114,26.19,20.72,542.66,Card,Completed
10104,1249,20,Punjab,2025-09-08 18:05:00,2025-09-08 20:59:00,174,53.57,13.55,725.87,Wallet,Completed
10105,1426,12,Kerala,2026-06-22 10:10:00,2026-06-22 12:00:00,110,80.74,12.13,979.38,Wallet,Failed
10106,1433,27,Uttarakhand,2026-07-25 15:17:00,2026-07-25 17:10:00,113,25.9,18.42,477.08,UPI,Completed
10107,1230,6,Goa,2026-07-30 14:35:00,2026-07-30 16:23:00,108,68.15,12.63,860.73,UPI,Failed
10108,1541,4,Bihar,2025-09-17 22:39:00,2025-09-17 23:11:00,32,58.84,15.17,892.6,Card,Completed
10109,1133,2,Arunachal Pradesh,2026-05-13 06:47:00,2026-05-13 09:13:00,146,38.77,23.81,923.11,UPI,Completed
10110,1316,13,Madhya Pradesh,2025-01-15 14:50:00,2025-01-15 17:45:00,175,55.28,12.71,702.61,UPI,Completed
10111,1444,20,Punjab,2026-03-22 20:22:00,2026-03-22 21:38:00,76,64.55,23.99,1548.55,RFID,Completed
10112,1304,6,Goa,2025-08-17 02:03:00,2025-08-17 04:20:00,137,18.38,17.48,321.28,Card,Completed
10113,1279,17,Mizoram,2025-08-16 10:27:00,2025-08-16 10:59:00,32,9.01,23.65,213.09,Card,Completed
10114,1181,1,Andhra Pradesh,2025-04-21 14:05:00,2025-04-21 16:25:00,140,45.37,19.51,885.17,Card,Completed
10115,1253,24,Telangana,2026-03-28 14:19:00,2026-03-28 14:48:00,29,39.22,22.46,880.88,UPI,Completed
10116,1543,7,Gujarat,2026-05-16 23:13:00,2026-05-17 02:01:00,168,45.34,17.36,787.1,Card,Completed
10117,1521,2,Arunachal Pradesh,2025-01-22 18:26:00,2025-01-22 19:30:00,64,86.83,18.15,1575.96,Wallet,Completed
10118,1584,5,Chhattisgarh,2026-03-24 20:31:00,2026-03-24 22:37:00,126,78.37,23.75,1861.29,Wallet,Completed
10119,1265,15,Manipur,2025-10-24 18:25:00,2025-10-24 19:29:00,64,66.99,20.05,1343.15,RFID,Failed
10120,1329,3,Assam,2025-12-28 05:00:00,2025-12-28 06:07:00,67,85.93,19.49,1674.78,UPI,Completed
10121,1500,2,Arunachal Pradesh,2025-12-15 10:55:00,2025-12-15 12:07:00,72,37.7,18.02,679.35,RFID,Completed
10122,1301,26,Uttar Pradesh,2025-10-18 20:10:00,2025-10-18 21:08:00,58,23.88,12.89,307.81,Card,Completed
10123,1594,10,Jharkhand,2025-10-11 09:57:00,2025-10-11 12:06:00,129,88.61,16.54,1465.61,Card,Completed
10124,1078,28,West Bengal,2025-12-02 05:37:00,2025-12-02 07:01:00,84,30.94,13.92,430.68,Wallet,Completed
10125,1209,14,Maharashtra,2025-06-06 09:46:00,2025-06-06 11:29:00,103,47.25,20.64,975.24,UPI,Completed
10126,1446,9,Himachal Pradesh,2025-03-23 12:03:00,2025-03-23 12:35:00,32,59.94,23.27,1394.8,Wallet,Completed
10127,1053,19,Odisha,2025-10-02 06:49:00,2025-10-02 08:40:00,111,46.81,23.75,1111.74,Card,Completed
10128,1569,11,Karnataka,2026-06-16 01:05:00,2026-06-16 02:22:00,77,89.01,16.36,1456.2,Wallet,Completed
10129,1371,13,Madhya Pradesh,2025-11-30 04:58:00,2025-11-30 06:30:00,92,65.36,19.23,1256.87,RFID,Completed
10130,1221,26,Uttar Pradesh,2026-06-26 06:27:00,2026-06-26 08:45:00,138,75.79,13.91,1054.24,RFID,Completed
10131,1215,5,Chhattisgarh,2026-01-30 22:14:00,2026-01-30 23:59:00,105,45.58,21.92,999.11,Wallet,Completed
10132,1475,25,Tripura,2026-05-10 04:01:00,2026-05-10 04:50:00,49,88.93,14.98,1332.17,UPI,Failed
10133,1468,21,Rajasthan,2025-12-11 22:53:00,2025-12-12 00:58:00,125,67.74,19.04,1289.77,Wallet,Completed
10134,1520,11,Karnataka,2026-03-22 20:32:00,2026-03-22 23:30:00,178,27.39,19.93,545.88,Wallet,Failed
10135,1410,7,Gujarat,2026-01-12 12:09:00,2026-01-12 14:08:00,119,49.66,21.9,1087.55,Card,Completed
10136,1523,29,Delhi,2025-12-21 21:10:00,2025-12-21 21:31:00,21,23.58,20.25,477.49,Card,Completed
10137,1362,3,Assam,2026-05-03 22:09:00,2026-05-03 22:58:00,49,9.58,14.65,140.35,UPI,Completed
10138,1171,5,Chhattisgarh,2026-03-30 20:04:00,2026-03-30 20:41:00,37,42.9,12.82,549.98,Wallet,Completed
10139,1068,28,West Bengal,2026-04-03 01:57:00,2026-04-03 04:48:00,171,76.19,18.12,1380.56,RFID,Completed
10140,1368,9,Himachal Pradesh,2025-06-19 18:57:00,2025-06-19 20:37:00,100,68.71,13.84,950.95,Card,Failed
10141,1376,14,Maharashtra,2025-10-10 00:42:00,2025-10-10 03:22:00,160,86.85,18.24,1584.14,RFID,Completed
10142,1290,1,Andhra Pradesh,2026-02-05 09:32:00,2026-02-05 12:04:00,152,79.5,12.27,975.46,RFID,Failed
10143,1008,12,Kerala,2025-01-19 00:48:00,2025-01-19 01:52:00,64,27.16,22.84,620.33,Wallet,Completed
10144,1357,2,Arunachal Pradesh,2026-04-06 20:13:00,2026-04-06 21:34:00,81,89.49,20.67,1849.76,Wallet,Completed
10145,1431,22,Sikkim,2025-01-27 18:55:00,2025-01-27 21:15:00,140,71.74,16.64,1193.75,Wallet,Completed
10146,1337,9,Himachal Pradesh,2026-02-25 11:47:00,2026-02-25 12:25:00,38,80.91,20.26,1639.24,Card,Completed
10147,1458,28,West Bengal,2026-07-10 18:42:00,2026-07-10 19:04:00,22,87.64,19.24,1686.19,RFID,Completed
10148,1280,15,Manipur,2025-05-07 19:35:00,2025-05-07 20:11:00,36,65.11,13.12,854.24,Wallet,Completed
10149,1194,6,Goa,2026-03-05 21:40:00,2026-03-05 23:58:00,138,75.42,18.37,1385.47,Wallet,Completed
10150,1353,17,Mizoram,2025-04-01 13:59:00,2025-04-01 15:34:00,95,27.44,14.7,403.37,UPI,Completed
10151,1175,13,Madhya Pradesh,2026-01-03 10:49:00,2026-01-03 11:47:00,58,62.75,21.81,1368.58,UPI,Cancelled
10152,1036,12,Kerala,2025-10-23 11:06:00,2025-10-23 13:36:00,150,8.53,15.67,133.67,Card,Failed
10153,1044,19,Odisha,2025-06-20 00:26:00,2025-06-20 03:26:00,180,68.56,21.39,1466.5,Wallet,Completed
10154,1595,27,Uttarakhand,2025-02-07 22:04:00,2025-02-07 22:49:00,45,43.18,17.1,738.38,Card,Completed
10155,1404,11,Karnataka,2025-07-05 23:45:00,2025-07-06 01:39:00,114,50.75,12.29,623.72,UPI,Completed
10156,1013,21,Rajasthan,2026-07-27 10:42:00,2026-07-27 13:12:00,150,5.91,15.3,90.42,Wallet,Completed
10157,1397,23,Tamil Nadu,2025-12-10 16:17:00,2025-12-10 17:54:00,97,43.42,18.62,808.48,RFID,Completed
10158,1495,12,Kerala,2026-04-26 06:12:00,2026-04-26 08:27:00,135,69.41,21.6,1499.26,UPI,Completed
10159,1464,5,Chhattisgarh,2026-07-23 22:05:00,2026-07-23 23:40:00,95,45.58,16.23,739.76,UPI,Completed
10160,1598,29,Delhi,2025-05-19 09:44:00,2025-05-19 12:28:00,164,28.2,14.72,415.1,UPI,Completed
10161,1006,30,Jammu and Kashmir,2025-01-26 19:30:00,2025-01-26 20:25:00,55,11.62,19.55,227.17,RFID,Failed
10162,1050,2,Arunachal Pradesh,2025-02-14 01:51:00,2025-02-14 02:15:00,24,28.46,13.95,397.02,RFID,Completed
10163,1538,2,Arunachal Pradesh,2026-01-23 09:09:00,2026-01-23 11:52:00,163,16.31,13.66,222.79,Wallet,Completed
10164,1275,9,Himachal Pradesh,2025-12-26 11:29:00,2025-12-26 13:08:00,99,66.77,12.22,815.93,Wallet,Completed
10165,1126,3,Assam,2026-02-23 15:58:00,2026-02-23 17:29:00,91,43.27,17.49,756.79,Wallet,Cancelled
10166,1245,9,Himachal Pradesh,2026-08-18 06:22:00,2026-08-18 07:23:00,61,36.42,20.04,729.86,Wallet,Cancelled
10167,1199,5,Chhattisgarh,2025-11-18 15:39:00,2025-11-18 18:10:00,151,35.74,21.35,763.05,Wallet,Completed
10168,1204,23,Tamil Nadu,2026-07-26 16:50:00,2026-07-26 18:11:00,81,94.25,14.37,1354.37,UPI,Completed
10169,1201,14,Maharashtra,2026-05-17 05:42:00,2026-05-17 08:18:00,156,92.38,23.37,2158.92,Card,Completed
10170,1480,13,Madhya Pradesh,2026-03-22 05:57:00,2026-03-22 08:44:00,167,29.04,17.72,514.59,UPI,Completed
10171,1147,17,Mizoram,2026-07-26 23:02:00,2026-07-27 02:00:00,178,51.3,15.08,773.6,RFID,Completed
10172,1508,19,Odisha,2026-05-12 06:18:00,2026-05-12 08:17:00,119,37.87,16.71,632.81,Card,Completed
10173,1109,17,Mizoram,2026-01-01 18:03:00,2026-01-01 19:12:00,69,74.16,13.07,969.27,Wallet,Completed
10174,1273,25,Tripura,2026-05-21 08:08:00,2026-05-21 09:51:00,103,51.57,12.18,628.12,UPI,Cancelled
10175,1542,17,Mizoram,2025-12-10 21:07:00,2025-12-10 22:26:00,79,88.32,19.74,1743.44,Wallet,Completed
10176,1321,3,Assam,2025-05-25 11:52:00,2025-05-25 14:43:00,171,16.78,20.11,337.45,RFID,Cancelled
10177,1202,18,Nagaland,2026-01-10 17:38:00,2026-01-10 20:12:00,154,61.27,23.84,1460.68,Wallet,Cancelled
10178,1504,29,Delhi,2026-03-20 02:53:00,2026-03-20 04:24:00,91,12.49,15.52,193.84,UPI,Completed
10179,1071,18,Nagaland,2025-09-05 06:03:00,2025-09-05 08:55:00,172,46.43,16.37,760.06,RFID,Failed
10180,1246,25,Tripura,2026-05-16 19:27:00,2026-05-16 22:13:00,166,93.2,22.59,2105.39,Card,Cancelled
10181,1016,26,Uttar Pradesh,2026-01-19 05:52:00,2026-01-19 08:21:00,149,41.84,22.74,951.44,UPI,Completed
10182,1278,20,Punjab,2026-08-21 05:40:00,2026-08-21 07:39:00,119,6.35,22.68,144.02,Wallet,Cancelled
10183,1086,24,Telangana,2026-06-25 15:59:00,2026-06-25 16:50:00,51,94.68,21.45,2030.89,Card,Completed
10184,1501,25,Tripura,2026-07-03 15:58:00,2026-07-03 17:33:00,95,76.1,21.78,1657.46,UPI,Completed
10185,1071,18,Nagaland,2026-05-27 06:00:00,2026-05-27 07:45:00,105,52.48,20.83,1093.16,Card,Completed
10186,1149,13,Madhya Pradesh,2026-04-17 09:17:00,2026-04-17 11:46:00,149,55.45,15.98,886.09,Card,Completed
10187,1505,10,Jharkhand,2025-12-10 09:36:00,2025-12-10 10:01:00,25,77.54,20.32,1575.61,UPI,Completed
10188,1549,16,Meghalaya,2025-08-27 17:42:00,2025-08-27 19:18:00,96,30.93,21.22,656.33,Card,Completed
10189,1083,1,Andhra Pradesh,2026-07-21 16:37:00,2026-07-21 17:28:00,51,20.47,15.14,309.92,Wallet,Cancelled
10190,1459,16,Meghalaya,2025-03-30 09:59:00,2025-03-30 12:56:00,177,43.06,18.79,809.1,Wallet,Completed
10191,1325,27,Uttarakhand,2026-07-01 01:51:00,2026-07-01 02:50:00,59,69.27,16.44,1138.8,Wallet,Completed
10192,1063,12,Kerala,2025-02-09 11:59:00,2025-02-09 13:45:00,106,24.39,14.4,351.22,RFID,Completed
10193,1411,10,Jharkhand,2026-04-14 02:35:00,2026-04-14 04:14:00,99,76.47,23.63,1806.99,UPI,Cancelled
10194,1540,11,Karnataka,2026-03-21 16:40:00,2026-03-21 18:16:00,96,71.85,16.97,1219.29,Card,Completed
10195,1588,25,Tripura,2025-04-14 23:48:00,2025-04-15 02:09:00,141,87.56,16.7,1462.25,Card,Cancelled
10196,1310,9,Himachal Pradesh,2026-03-24 13:07:00,2026-03-24 15:50:00,163,57.18,16.44,940.04,Wallet,Completed
10197,1464,5,Chhattisgarh,2025-03-26 09:09:00,2025-03-26 12:06:00,177,45.63,23.26,1061.35,Card,Completed
10198,1015,15,Manipur,2025-10-18 09:21:00,2025-10-18 10:28:00,67,30.0,22.44,673.2,RFID,Completed
10199,1253,24,Telangana,2026-05-30 06:17:00,2026-05-30 08:07:00,110,13.27,17.34,230.1,Wallet,Completed
10200,1553,28,West Bengal,2025-04-18 18:23:00,2025-04-18 21:21:00,178,33.02,18.81,621.11,Wallet,Completed
10201,1151,19,Odisha,2025-03-27 15:23:00,2025-03-27 16:12:00,49,60.79,12.99,789.66,RFID,Completed
10202,1280,15,Manipur,2025-05-13 10:52:00,2025-05-13 13:39:00,167,27.82,15.97,444.29,Card,Completed
10203,1386,27,Uttarakhand,2025-06-26 12:40:00,2025-06-26 14:50:00,130,88.53,18.36,1625.41,Card,Completed
10204,1376,14,Maharashtra,2025-11-21 18:27:00,2025-11-21 20:01:00,94,71.76,21.08,1512.7,UPI,Cancelled
10205,1308,24,Telangana,2026-02-08 16:50:00,2026-02-08 18:31:00,101,56.36,17.81,1003.77,Card,Completed
10206,1422,2,Arunachal Pradesh,2026-01-13 23:23:00,2026-01-14 02:18:00,175,71.38,19.2,1370.5,Card,Completed
10207,1075,20,Punjab,2026-08-23 23:05:00,2026-08-24 00:23:00,78,91.13,12.73,1160.08,UPI,Completed
10208,1354,26,Uttar Pradesh,2026-01-14 10:09:00,2026-01-14 10:59:00,50,60.44,13.49,815.34,RFID,Completed
10209,1423,12,Kerala,2026-07-15 20:05:00,2026-07-15 22:49:00,164,83.34,18.7,1558.46,RFID,Completed
10210,1121,26,Uttar Pradesh,2026-07-02 20:18:00,2026-07-02 22:11:00,113,90.31,17.82,1609.32,Card,Completed
10211,1014,23,Tamil Nadu,2025-05-23 20:39:00,2025-05-23 21:48:00,69,44.19,15.0,662.85,Wallet,Completed
10212,1548,13,Madhya Pradesh,2026-01-19 07:32:00,2026-01-19 08:05:00,33,72.6,23.2,1684.32,Card,Cancelled
10213,1083,1,Andhra Pradesh,2025-01-29 02:51:00,2025-01-29 04:18:00,87,73.35,22.63,1659.91,RFID,Completed
10214,1456,17,Mizoram,2026-03-17 09:17:00,2026-03-17 09:47:00,30,61.21,17.0,1040.57,RFID,Completed
10215,1245,9,Himachal Pradesh,2025-11-10 03:53:00,2025-11-10 06:46:00,173,72.43,23.24,1683.27,RFID,Completed
10216,1290,1,Andhra Pradesh,2025-12-01 00:58:00,2025-12-01 03:41:00,163,87.1,22.71,1978.04,Wallet,Completed
