RegistrationRecordID,StateID,State,Region,Month,EV_Registrations,Total_Vehicle_Registrations,EV_Penetration_Pct
74,17,Mizoram,Northeast,01-12-2025,19389,126271,15.36
75,21,Rajasthan,North,01-06-2025,33435,1508532,2.22
76,24,Telangana,South,01-05-2026,1101,7088,15.53
77,3,Assam,Northeast,01-01-2025,990,15764,6.28
78,23,Tamil Nadu,South,01-01-2025,20578,470580,4.37
79,25,Tripura,Northeast,01-10-2025,23893,203441,11.74
80,8,Haryana,North,01-02-2026,37431,760041,4.92
81,15,Manipur,Northeast,01-02-2025,17338,282650,6.13
82,26,Uttar Pradesh,North,01-05-2026,28551,242817,11.76
83,11,Karnataka,South,01-04-2026,40774,667301,6.11
84,23,Tamil Nadu,South,01-03-2025,30392,287770,10.56
85,28,West Bengal,East,01-07-2025,25176,233315,10.79
86,20,Punjab,North,01-01-2025,12839,108551,11.83
87,16,Meghalaya,Northeast,01-02-2026,26347,182804,14.41
88,15,Manipur,Northeast,01-02-2025,13921,171048,8.14
89,22,Sikkim,Northeast,01-07-2026,29112,698031,4.17
90,30,Jammu and Kashmir,North,01-05-2026,43475,1709133,2.54
91,15,Manipur,Northeast,01-11-2025,3291,50067,6.57
92,8,Haryana,North,01-12-2025,22406,701312,3.19
93,13,Madhya Pradesh,Central,01-08-2026,32893,343749,9.57
94,23,Tamil Nadu,South,01-08-2025,8787,227734,3.86
95,18,Nagaland,Northeast,01-10-2025,18877,733102,2.57
96,24,Telangana,South,01-07-2026,29051,233969,12.42
97,26,Uttar Pradesh,North,01-05-2025,33017,213328,15.48
98,23,Tamil Nadu,South,01-09-2025,35499,459513,7.73
99,26,Uttar Pradesh,North,01-01-2025,8605,259638,3.31
100,25,Tripura,Northeast,01-08-2025,4143,44868,9.23
101,5,Chhattisgarh,Central,01-03-2025,20331,204856,9.92
102,19,Odisha,East,01-05-2025,8053,365794,2.2
103,14,Maharashtra,West,01-05-2025,44878,1746087,2.57
104,14,Maharashtra,West,01-08-2026,29924,346405,8.64
105,26,Uttar Pradesh,North,01-04-2026,30022,438388,6.85
106,30,Jammu and Kashmir,North,01-05-2025,27446,1026853,2.67
107,22,Sikkim,Northeast,01-05-2025,32643,1239173,2.63
108,10,Jharkhand,East,01-07-2026,36057,399986,9.01
109,24,Telangana,South,01-05-2025,17164,400926,4.28
110,24,Telangana,South,01-04-2026,39446,259180,15.22
111,28,West Bengal,East,01-08-2026,18871,164376,11.48
112,3,Assam,Northeast,01-01-2025,4800,35936,13.36
113,11,Karnataka,South,01-05-2025,38955,526032,7.41
114,1,Andhra Pradesh,South,01-08-2025,4713,96309,4.89
115,29,Delhi,North,01-01-2026,21291,624206,3.41
116,2,Arunachal Pradesh,Northeast,01-07-2026,35650,531157,6.71
117,26,Uttar Pradesh,North,01-08-2025,23932,173065,13.83
118,26,Uttar Pradesh,North,01-02-2025,42376,473764,8.94
119,26,Uttar Pradesh,North,01-06-2026,26892,177938,15.11
120,24,Telangana,South,01-04-2025,34296,258862,13.25
121,25,Tripura,Northeast,01-04-2025,39556,316230,12.51
122,3,Assam,Northeast,01-05-2026,18306,235397,7.78
123,18,Nagaland,Northeast,01-05-2026,35711,527391,6.77
124,30,Jammu and Kashmir,North,01-05-2025,37008,321310,11.52
125,23,Tamil Nadu,South,01-03-2025,22152,303943,7.29
126,17,Mizoram,Northeast,01-08-2026,1528,23577,6.48
127,27,Uttarakhand,North,01-07-2026,14723,684241,2.15
128,9,Himachal Pradesh,North,01-07-2026,37739,541552,6.97
129,28,West Bengal,East,01-02-2026,33107,330141,10.03
130,15,Manipur,Northeast,01-04-2026,22164,674937,3.28
131,12,Kerala,South,01-08-2026,11930,239645,4.98
132,21,Rajasthan,North,01-04-2026,27992,780046,3.59
133,21,Rajasthan,North,01-10-2025,22489,801511,2.81
134,26,Uttar Pradesh,North,01-05-2025,24514,169907,14.43
135,11,Karnataka,South,01-11-2025,7601,48846,15.56
136,9,Himachal Pradesh,North,01-10-2025,18137,170219,10.66
137,29,Delhi,North,01-06-2025,2342,29402,7.97
138,8,Haryana,North,01-10-2025,28369,195829,14.49
139,2,Arunachal Pradesh,Northeast,01-05-2025,23356,732684,3.19
140,19,Odisha,East,01-08-2025,14607,103713,14.08
141,22,Sikkim,Northeast,01-08-2026,27056,177282,15.26
142,25,Tripura,Northeast,01-01-2026,26531,384337,6.9
143,28,West Bengal,East,01-07-2026,7388,101318,7.29
144,7,Gujarat,West,01-10-2025,28978,814729,3.56
145,3,Assam,Northeast,01-01-2026,5548,72307,7.67
146,30,Jammu and Kashmir,North,01-08-2026,13916,102936,13.52
147,7,Gujarat,West,01-01-2025,40098,394387,10.17
148,30,Jammu and Kashmir,North,01-05-2026,24760,174853,14.16
149,6,Goa,West,01-06-2025,2905,133860,2.17
150,13,Madhya Pradesh,Central,01-03-2026,21359,227518,9.39
151,11,Karnataka,South,01-05-2025,26626,226879,11.74
152,25,Tripura,Northeast,01-06-2026,6990,64652,10.81
153,14,Maharashtra,West,01-03-2026,43156,367067,11.76
154,3,Assam,Northeast,01-04-2026,42230,1601897,2.64
155,12,Kerala,South,01-10-2025,11775,419025,2.81
156,6,Goa,West,01-12-2025,24759,231785,10.68
157,8,Haryana,North,01-04-2025,37287,536740,6.95
158,18,Nagaland,Northeast,01-05-2025,5635,35648,15.81
159,22,Sikkim,Northeast,01-05-2026,38888,614015,6.33
160,20,Punjab,North,01-01-2026,36347,627385,5.79
161,13,Madhya Pradesh,Central,01-02-2026,6513,83148,7.83
162,5,Chhattisgarh,Central,01-03-2026,10936,139216,7.86
163,24,Telangana,South,01-06-2026,30348,704509,4.31
164,24,Telangana,South,01-01-2025,28512,326778,8.73
165,15,Manipur,Northeast,01-05-2026,24633,335944,7.33
166,22,Sikkim,Northeast,01-05-2026,21184,247427,8.56
167,3,Assam,Northeast,01-01-2025,1204,43165,2.79
168,6,Goa,West,01-05-2026,33406,267274,12.5
169,3,Assam,Northeast,01-05-2025,4436,29132,15.23
170,10,Jharkhand,East,01-07-2026,14256,265218,5.38
171,9,Himachal Pradesh,North,01-02-2026,35616,231924,15.36
172,13,Madhya Pradesh,Central,01-04-2025,22749,159138,14.3
173,8,Haryana,North,01-02-2025,36987,641977,5.76
174,7,Gujarat,West,01-02-2025,43925,322049,13.64
175,18,Nagaland,Northeast,01-12-2025,43744,449731,9.73
176,5,Chhattisgarh,Central,01-05-2026,19998,832224,2.4
177,15,Manipur,Northeast,01-05-2025,40564,370411,10.95
178,11,Karnataka,South,01-07-2026,16581,155811,10.64
179,2,Arunachal Pradesh,Northeast,01-06-2025,43089,420017,10.26
180,30,Jammu and Kashmir,North,01-03-2026,24186,738722,3.27
181,2,Arunachal Pradesh,Northeast,01-08-2026,29720,323189,9.2
182,24,Telangana,South,01-03-2026,5437,50769,10.71
183,19,Odisha,East,01-05-2026,38460,947517,4.06
184,24,Telangana,South,01-05-2026,22633,177307,12.76
185,20,Punjab,North,01-05-2025,27969,261605,10.69
186,2,Arunachal Pradesh,Northeast,01-01-2026,39837,366566,10.87
187,16,Meghalaya,Northeast,01-11-2025,7054,185420,3.8
188,23,Tamil Nadu,South,01-04-2026,7038,92554,7.6
189,16,Meghalaya,Northeast,01-08-2025,43479,560061,7.76
190,3,Assam,Northeast,01-06-2026,29532,629405,4.69
191,19,Odisha,East,01-05-2025,22769,385897,5.9
192,29,Delhi,North,01-06-2025,39944,571945,6.98
193,14,Maharashtra,West,01-02-2025,43728,483297,9.05
194,13,Madhya Pradesh,Central,01-09-2025,24121,182849,13.19
195,25,Tripura,Northeast,01-03-2026,20062,275501,7.28
196,17,Mizoram,Northeast,01-04-2025,14368,451364,3.18
197,3,Assam,Northeast,01-08-2026,1102,15334,7.19
198,22,Sikkim,Northeast,01-02-2026,29499,411721,7.16
199,24,Telangana,South,01-02-2025,17548,610837,2.87
200,27,Uttarakhand,North,01-07-2026,5926,50996,11.62
201,23,Tamil Nadu,South,01-02-2026,39438,1625230,2.43
202,18,Nagaland,Northeast,01-06-2025,40450,535032,7.56
203,25,Tripura,Northeast,01-05-2025,11067,485182,2.28
204,25,Tripura,Northeast,01-05-2026,30726,945746,3.25
205,30,Jammu and Kashmir,North,01-12-2025,5432,37546,14.47
206,20,Punjab,North,01-04-2025,8361,64076,13.05
207,13,Madhya Pradesh,Central,01-06-2026,27534,270503,10.18
208,22,Sikkim,Northeast,01-02-2025,13710,110243,12.44
209,17,Mizoram,Northeast,01-12-2025,7538,103220,7.3
210,5,Chhattisgarh,Central,01-06-2025,19923,180415,11.04
211,2,Arunachal Pradesh,Northeast,01-01-2026,4612,30600,15.07
212,21,Rajasthan,North,01-06-2025,2405,44181,5.44
213,4,Bihar,East,01-11-2025,11389,257248,4.43
214,23,Tamil Nadu,South,01-09-2025,13846,508502,2.72
215,8,Haryana,North,01-05-2025,11587,72593,15.96
216,6,Goa,West,01-02-2025,42227,271162,15.57
217,4,Bihar,East,01-03-2026,42405,270942,15.65
218,30,Jammu and Kashmir,North,01-06-2025,14034,104016,13.49
219,2,Arunachal Pradesh,Northeast,01-03-2026,11754,117509,10
220,19,Odisha,East,01-01-2026,32843,674243,4.87
221,26,Uttar Pradesh,North,01-04-2025,27186,567190,4.79
222,20,Punjab,North,01-05-2026,39851,1104604,3.61
223,26,Uttar Pradesh,North,01-02-2026,43333,427459,10.14
224,11,Karnataka,South,01-04-2025,40556,428880,9.46
225,1,Andhra Pradesh,South,01-06-2025,809,8357,9.68
226,10,Jharkhand,East,01-12-2025,40609,623511,6.51
227,2,Arunachal Pradesh,Northeast,01-08-2026,9312,236132,3.94
228,9,Himachal Pradesh,North,01-05-2026,28334,329385,8.6
229,23,Tamil Nadu,South,01-03-2025,29053,831561,3.49
230,5,Chhattisgarh,Central,01-12-2025,43729,1169174,3.74
231,24,Telangana,South,01-11-2025,6056,124352,4.87
232,3,Assam,Northeast,01-03-2025,6215,51353,12.1
233,28,West Bengal,East,01-08-2025,42632,340864,12.51
234,28,West Bengal,East,01-03-2025,22004,477344,4.61
235,19,Odisha,East,01-02-2026,41145,279705,14.71
236,25,Tripura,Northeast,01-01-2026,18249,243507,7.49
237,8,Haryana,North,01-08-2025,10310,85967,11.99
238,19,Odisha,East,01-06-2025,6784,54417,12.47
239,15,Manipur,Northeast,01-01-2025,19896,285244,6.98
240,15,Manipur,Northeast,01-02-2025,19181,654046,2.93
241,8,Haryana,North,01-07-2026,12102,332785,3.64
242,6,Goa,West,01-03-2025,31910,260965,12.23
243,10,Jharkhand,East,01-08-2026,16174,113098,14.3
244,1,Andhra Pradesh,South,01-08-2026,25853,178118,14.51
245,4,Bihar,East,01-06-2025,32984,518281,6.36
246,5,Chhattisgarh,Central,01-01-2025,38941,800658,4.86
247,2,Arunachal Pradesh,Northeast,01-10-2025,38180,267465,14.27
248,1,Andhra Pradesh,South,01-06-2025,24510,335592,7.3
249,13,Madhya Pradesh,Central,01-08-2026,41431,458711,9.03
250,8,Haryana,North,01-05-2025,15182,196521,7.73
251,13,Madhya Pradesh,Central,01-02-2025,17278,166483,10.38
252,4,Bihar,East,01-04-2025,34361,621897,5.53
253,5,Chhattisgarh,Central,01-08-2026,13098,84902,15.43
254,8,Haryana,North,01-06-2025,44965,590718,7.61
255,15,Manipur,Northeast,01-02-2026,25738,620653,4.15
256,13,Madhya Pradesh,Central,01-08-2025,18168,325345,5.58
257,8,Haryana,North,01-11-2025,20715,603763,3.43
258,16,Meghalaya,Northeast,01-04-2025,39527,355486,11.12
259,17,Mizoram,Northeast,01-09-2025,21330,173270,12.31
260,8,Haryana,North,01-09-2025,4597,31166,14.75
261,1,Andhra Pradesh,South,01-02-2026,22916,145150,15.79
262,14,Maharashtra,West,01-04-2025,20056,301591,6.65
263,22,Sikkim,Northeast,01-07-2026,3508,47987,7.31
264,21,Rajasthan,North,01-09-2025,40024,1938350,2.06
265,9,Himachal Pradesh,North,01-03-2025,25950,332561,7.8
266,26,Uttar Pradesh,North,01-11-2025,8773,128094,6.85
267,18,Nagaland,Northeast,01-02-2025,37168,363716,10.22
268,27,Uttarakhand,North,01-12-2025,14290,260996,5.48
269,25,Tripura,Northeast,01-07-2025,6099,77546,7.87
270,24,Telangana,South,01-01-2025,37948,374675,10.13
271,22,Sikkim,Northeast,01-06-2026,39156,425034,9.21
272,17,Mizoram,Northeast,01-08-2026,20616,505135,4.08
273,22,Sikkim,Northeast,01-08-2025,21606,209048,10.34
274,13,Madhya Pradesh,Central,01-07-2026,25242,191271,13.2
275,30,Jammu and Kashmir,North,01-05-2026,21708,297852,7.29
276,16,Meghalaya,Northeast,01-08-2025,24370,834611,2.92
277,14,Maharashtra,West,01-07-2026,29665,312843,9.48
278,17,Mizoram,Northeast,01-06-2026,12285,124911,9.84
279,4,Bihar,East,01-01-2025,13142,86201,15.25
280,10,Jharkhand,East,01-10-2025,10893,116227,9.37
281,1,Andhra Pradesh,South,01-06-2026,20646,183929,11.22
282,1,Andhra Pradesh,South,01-03-2025,31478,275965,11.41
283,29,Delhi,North,01-08-2025,32280,244567,13.2
284,3,Assam,Northeast,01-07-2026,24960,254847,9.79
285,8,Haryana,North,01-02-2025,8770,162274,5.4
286,14,Maharashtra,West,01-02-2026,19722,127427,15.48
287,20,Punjab,North,01-05-2025,22189,363511,6.1
288,16,Meghalaya,Northeast,01-06-2026,6950,63964,10.87
289,1,Andhra Pradesh,South,01-07-2026,20879,459880,4.54
290,4,Bihar,East,01-06-2026,9505,64446,14.75
291,5,Chhattisgarh,Central,01-08-2026,20778,368932,5.63
292,2,Arunachal Pradesh,Northeast,01-03-2025,38134,1538161,2.48
293,20,Punjab,North,01-05-2025,34372,444555,7.73
294,30,Jammu and Kashmir,North,01-09-2025,7883,155386,5.07
295,26,Uttar Pradesh,North,01-12-2025,30775,855020,3.6
296,30,Jammu and Kashmir,North,01-02-2026,21407,470535,4.55
297,18,Nagaland,Northeast,01-07-2026,28656,497371,5.76
298,8,Haryana,North,01-02-2025,41996,549995,7.64
299,9,Himachal Pradesh,North,01-11-2025,42201,288889,14.61
300,2,Arunachal Pradesh,Northeast,01-05-2025,17258,127684,13.52
301,21,Rajasthan,North,01-10-2025,39043,435103,8.97
302,2,Arunachal Pradesh,Northeast,01-05-2026,22980,206656,11.12
303,26,Uttar Pradesh,North,01-12-2025,2422,69356,3.49
304,22,Sikkim,Northeast,01-06-2025,30202,291418,10.36
305,12,Kerala,South,01-01-2026,9446,94213,10.03
306,17,Mizoram,Northeast,01-02-2026,21409,494666,4.33
307,11,Karnataka,South,01-01-2025,20050,614141,3.26
308,19,Odisha,East,01-11-2025,24863,167798,14.82
309,27,Uttarakhand,North,01-07-2025,32263,324915,9.93
310,2,Arunachal Pradesh,Northeast,01-03-2026,3511,23227,15.12
311,5,Chhattisgarh,Central,01-01-2025,41283,431929,9.56
312,19,Odisha,East,01-03-2025,32787,1205421,2.72
313,30,Jammu and Kashmir,North,01-01-2026,39690,594213,6.68
314,26,Uttar Pradesh,North,01-02-2025,2324,34069,6.82
315,8,Haryana,North,01-05-2026,34808,293269,11.87
316,8,Haryana,North,01-10-2025,14150,461955,3.06
317,18,Nagaland,Northeast,01-05-2025,21387,182393,11.73
318,30,Jammu and Kashmir,North,01-06-2025,24193,702608,3.44
319,5,Chhattisgarh,Central,01-12-2025,4890,31610,15.47
320,17,Mizoram,Northeast,01-10-2025,37208,451329,8.24
321,15,Manipur,Northeast,01-12-2025,2141,13889,15.42
322,19,Odisha,East,01-08-2025,13054,98210,13.29
323,23,Tamil Nadu,South,01-05-2025,3221,29492,10.92
324,8,Haryana,North,01-06-2026,12718,108659,11.7
325,9,Himachal Pradesh,North,01-01-2026,28735,241916,11.88
326,7,Gujarat,West,01-05-2026,12982,132722,9.78
327,22,Sikkim,Northeast,01-07-2025,37998,323005,11.76
328,9,Himachal Pradesh,North,01-07-2026,15823,437831,3.61
329,27,Uttarakhand,North,01-06-2026,36862,262016,14.07
330,7,Gujarat,West,01-03-2025,38065,408682,9.31
331,7,Gujarat,West,01-05-2026,24877,240409,10.35
332,3,Assam,Northeast,01-12-2025,31707,362993,8.73
333,3,Assam,Northeast,01-05-2025,30666,453756,6.76
334,23,Tamil Nadu,South,01-12-2025,41798,651661,6.41
335,17,Mizoram,Northeast,01-04-2025,16117,249391,6.46
336,18,Nagaland,Northeast,01-01-2025,29487,369722,7.98
337,12,Kerala,South,01-02-2025,9302,109859,8.47
338,2,Arunachal Pradesh,Northeast,01-01-2026,28588,387607,7.38
339,3,Assam,Northeast,01-07-2025,42573,616110,6.91
340,30,Jammu and Kashmir,North,01-05-2026,9236,105954,8.72
341,16,Meghalaya,Northeast,01-12-2025,11416,89496,12.76
342,25,Tripura,Northeast,01-07-2025,13476,109991,12.25
343,17,Mizoram,Northeast,01-03-2025,34733,564026,6.16
344,18,Nagaland,Northeast,01-04-2025,33713,639653,5.27
345,25,Tripura,Northeast,01-04-2026,26080,176876,14.74
346,15,Manipur,Northeast,01-09-2025,5294,71728,7.38
347,24,Telangana,South,01-04-2025,32683,212367,15.39
348,5,Chhattisgarh,Central,01-05-2025,42698,416982,10.24
349,7,Gujarat,West,01-02-2026,41770,285077,14.65
350,2,Arunachal Pradesh,Northeast,01-07-2025,15699,539519,2.91
351,8,Haryana,North,01-08-2026,16734,320086,5.23
352,19,Odisha,East,01-01-2026,34957,668473,5.23
353,2,Arunachal Pradesh,Northeast,01-09-2025,28176,182939,15.4
354,24,Telangana,South,01-06-2025,16676,593494,2.81
355,15,Manipur,Northeast,01-05-2026,12162,117373,10.36
356,17,Mizoram,Northeast,01-10-2025,19650,155762,12.62
357,30,Jammu and Kashmir,North,01-05-2026,25378,189082,13.42
358,6,Goa,West,01-01-2026,8087,64850,12.47
359,25,Tripura,Northeast,01-09-2025,38243,377850,10.12
360,2,Arunachal Pradesh,Northeast,01-11-2025,18824,251779,7.48
361,27,Uttarakhand,North,01-09-2025,18402,119655,15.38
362,12,Kerala,South,01-10-2025,29992,453962,6.61
363,25,Tripura,Northeast,01-05-2025,16385,212286,7.72
364,15,Manipur,Northeast,01-06-2025,15463,131712,11.74
365,16,Meghalaya,Northeast,01-06-2026,29925,193442,15.47
366,16,Meghalaya,Northeast,01-01-2026,42555,1388040,3.07
367,17,Mizoram,Northeast,01-06-2026,10316,118191,8.73
368,29,Delhi,North,01-07-2026,19929,199320,10
369,8,Haryana,North,01-02-2025,6983,70391,9.92
370,13,Madhya Pradesh,Central,01-01-2025,21495,163286,13.16
371,8,Haryana,North,01-01-2025,32090,226910,14.14
372,9,Himachal Pradesh,North,01-01-2026,33930,635195,5.34
373,21,Rajasthan,North,01-10-2025,21470,182167,11.79
374,28,West Bengal,East,01-07-2025,9817,115269,8.52
375,23,Tamil Nadu,South,01-10-2025,41129,305128,13.48
376,21,Rajasthan,North,01-07-2025,37566,1863687,2.02
377,2,Arunachal Pradesh,Northeast,01-02-2026,27388,487189,5.62
378,2,Arunachal Pradesh,Northeast,01-01-2026,10682,67879,15.74
379,17,Mizoram,Northeast,01-08-2025,32766,450470,7.27
380,24,Telangana,South,01-01-2026,1807,51662,3.5
381,30,Jammu and Kashmir,North,01-07-2025,30057,373315,8.05
382,2,Arunachal Pradesh,Northeast,01-03-2026,26621,212089,12.55
383,22,Sikkim,Northeast,01-04-2025,7859,67572,11.63
384,18,Nagaland,Northeast,01-04-2025,15659,532092,2.94
385,10,Jharkhand,East,01-01-2025,21753,714214,3.05
386,18,Nagaland,Northeast,01-06-2026,24621,157535,15.63
387,29,Delhi,North,01-12-2025,12739,115118,11.07
388,20,Punjab,North,01-12-2025,22310,764364,2.92
389,1,Andhra Pradesh,South,01-06-2025,32398,366451,8.84
390,19,Odisha,East,01-11-2025,30041,1491303,2.01
391,2,Arunachal Pradesh,Northeast,01-02-2026,13825,86624,15.96
392,17,Mizoram,Northeast,01-03-2025,7340,52582,13.96
393,15,Manipur,Northeast,01-11-2025,24211,175961,13.76
394,15,Manipur,Northeast,01-02-2026,3893,101414,3.84
395,3,Assam,Northeast,01-05-2026,28887,358724,8.05
396,21,Rajasthan,North,01-03-2026,17135,122366,14
397,20,Punjab,North,01-06-2025,35250,603697,5.84
398,3,Assam,Northeast,01-01-2025,13657,94073,14.52
399,15,Manipur,Northeast,01-02-2025,2780,57856,4.81
400,17,Mizoram,Northeast,01-12-2025,27185,192787,14.1
401,16,Meghalaya,Northeast,01-08-2025,22363,486431,4.6
402,17,Mizoram,Northeast,01-08-2025,9582,114730,8.35
403,18,Nagaland,Northeast,01-08-2026,39910,370666,10.77
404,12,Kerala,South,01-03-2025,16051,122046,13.15
405,25,Tripura,Northeast,01-02-2026,12336,117460,10.5
406,20,Punjab,North,01-04-2025,9512,197863,4.81
407,25,Tripura,Northeast,01-02-2025,17767,280012,6.35
408,13,Madhya Pradesh,Central,01-05-2026,37735,443712,8.5
409,30,Jammu and Kashmir,North,01-06-2026,18573,118709,15.65
410,6,Goa,West,01-11-2025,22604,179413,12.6
411,28,West Bengal,East,01-06-2025,30887,254423,12.14
412,19,Odisha,East,01-09-2025,44208,1285454,3.44
413,14,Maharashtra,West,01-03-2026,9583,109482,8.75
414,28,West Bengal,East,01-08-2026,36288,368964,9.84
415,18,Nagaland,Northeast,01-01-2025,7168,221910,3.23
416,13,Madhya Pradesh,Central,01-01-2025,23916,771459,3.1
417,22,Sikkim,Northeast,01-07-2025,44001,280537,15.68
418,26,Uttar Pradesh,North,01-02-2026,11161,84500,13.21
419,2,Arunachal Pradesh,Northeast,01-10-2025,9878,86760,11.39
420,8,Haryana,North,01-11-2025,39650,272562,14.55
421,9,Himachal Pradesh,North,01-06-2025,26815,433639,6.18
422,12,Kerala,South,01-08-2025,37479,312397,12
423,30,Jammu and Kashmir,North,01-08-2026,14429,136488,10.57
424,7,Gujarat,West,01-11-2025,33775,349410,9.67
425,26,Uttar Pradesh,North,01-03-2025,22088,514153,4.3
426,14,Maharashtra,West,01-11-2025,16113,566376,2.84
427,23,Tamil Nadu,South,01-12-2025,2360,16613,14.21
428,26,Uttar Pradesh,North,01-07-2026,20822,242608,8.58
429,13,Madhya Pradesh,Central,01-08-2025,29180,223502,13.06
430,23,Tamil Nadu,South,01-07-2026,25163,257419,9.78
431,18,Nagaland,Northeast,01-07-2026,1461,21961,6.65
432,24,Telangana,South,01-09-2025,26458,238262,11.1
433,10,Jharkhand,East,01-07-2026,29506,579929,5.09
434,22,Sikkim,Northeast,01-03-2026,33920,246398,13.77
435,17,Mizoram,Northeast,01-08-2026,13603,110639,12.29
436,30,Jammu and Kashmir,North,01-08-2026,34523,1347749,2.56
437,17,Mizoram,Northeast,01-07-2026,5503,53777,10.23
438,26,Uttar Pradesh,North,01-02-2025,22815,217562,10.49
439,15,Manipur,Northeast,01-02-2025,11971,151453,7.9
440,10,Jharkhand,East,01-07-2026,18578,310982,5.97
441,29,Delhi,North,01-12-2025,34097,314494,10.84
442,15,Manipur,Northeast,01-01-2025,28290,219915,12.86
443,4,Bihar,East,01-04-2026,13565,300405,4.52
444,12,Kerala,South,01-02-2026,23661,257840,9.18
445,5,Chhattisgarh,Central,01-05-2025,5448,99757,5.46
446,28,West Bengal,East,01-03-2026,33581,364715,9.21
