SalesRecordID,StateID,State,Region,Month,VehicleSegment,Brand,UnitsSold,AverageVehiclePrice,EstimatedSalesValue
5088,11,Karnataka,South,2026-05-01,e-4W,Ather,1398,1019348,1425048504
5089,29,Delhi,North,2025-01-01,e-2W,TVS,1309,99813,130655217
5090,28,West Bengal,East,2025-06-01,e-4W,TVS,1379,1927562,2658107998
5091,1,Andhra Pradesh,South,2026-01-01,e-2W,Tata,982,141091,138551362
5092,12,Kerala,South,2025-12-01,e-3W,Hyundai,1633,215709,352252797
5093,8,Haryana,North,2025-02-01,e-2W,MG,106,128446,13615276
5094,20,Punjab,North,2026-08-01,e-4W,Mahindra,918,1624993,1491743574
5095,2,Arunachal Pradesh,Northeast,2025-12-01,e-4W,Hyundai,1177,1530819,1801773963
5096,27,Uttarakhand,North,2026-07-01,e-2W,TVS,499,104565,52177935
5097,27,Uttarakhand,North,2025-05-01,e-2W,Ola,211,104178,21981558
5098,17,Mizoram,Northeast,2025-08-01,e-2W,Hero,1310,156437,204932470
5099,12,Kerala,South,2025-06-01,e-3W,Mahindra,1281,225689,289107609
5100,1,Andhra Pradesh,South,2025-12-01,e-2W,Mahindra,957,100825,96489525
5101,2,Arunachal Pradesh,Northeast,2025-12-01,e-4W,Bajaj,885,1818844,1609676940
5102,12,Kerala,South,2025-09-01,e-3W,Ather,1694,289876,491049944
5103,4,Bihar,East,2025-10-01,e-3W,Ather,1569,269044,422130036
5104,23,Tamil Nadu,South,2025-07-01,e-2W,TVS,429,116501,49978929
5105,30,Jammu and Kashmir,North,2025-06-01,e-3W,Ola,261,283986,74120346
5106,21,Rajasthan,North,2025-07-01,e-3W,Bajaj,1486,313851,466382586
5107,20,Punjab,North,2025-10-01,e-2W,TVS,44,107706,4739064
5108,8,Haryana,North,2025-01-01,e-4W,Ola,549,757939,416108511
5109,18,Nagaland,Northeast,2026-02-01,e-2W,Hyundai,603,120717,72792351
5110,1,Andhra Pradesh,South,2026-03-01,e-2W,Mahindra,1644,151731,249445764
5111,26,Uttar Pradesh,North,2026-04-01,e-2W,BYD,811,103313,83786843
5112,26,Uttar Pradesh,North,2026-01-01,e-2W,MG,1302,138199,179935098
5113,13,Madhya Pradesh,Central,2025-05-01,e-4W,Ather,1301,1368875,1780906375
5114,30,Jammu and Kashmir,North,2025-09-01,e-3W,Bajaj,1016,185636,188606176
5115,21,Rajasthan,North,2026-02-01,e-2W,Mahindra,1405,87143,122435915
5116,15,Manipur,Northeast,2026-04-01,e-2W,BYD,729,97200,70858800
5117,23,Tamil Nadu,South,2026-04-01,e-2W,BYD,1028,90698,93237544
5118,10,Jharkhand,East,2025-12-01,e-3W,Ola,376,366720,137886720
5119,20,Punjab,North,2025-03-01,e-2W,Hero,897,118353,106162641
5120,6,Goa,West,2025-04-01,e-4W,Bajaj,90,1471271,132414390
5121,15,Manipur,Northeast,2025-06-01,e-2W,MG,240,139202,33408480
5122,16,Meghalaya,Northeast,2025-08-01,e-2W,BYD,234,89403,20920302
5123,18,Nagaland,Northeast,2025-11-01,e-Truck,MG,1106,5190888,5741122128
5124,15,Manipur,Northeast,2025-10-01,e-Bus,Hero,1671,3416992,5709793632
5125,17,Mizoram,Northeast,2026-04-01,e-Truck,Ola,875,6327549,5536605375
5126,23,Tamil Nadu,South,2025-04-01,e-4W,Ather,988,2048055,2023478340
5127,16,Meghalaya,Northeast,2026-07-01,e-3W,Hyundai,1771,346991,614521061
5128,16,Meghalaya,Northeast,2025-12-01,e-3W,Tata,726,371480,269694480
5129,12,Kerala,South,2025-04-01,e-Bus,BYD,1458,7001428,10208082024
5130,21,Rajasthan,North,2026-03-01,e-3W,Hyundai,56,392369,21972664
5131,20,Punjab,North,2026-07-01,e-3W,TVS,1050,219236,230197800
5132,5,Chhattisgarh,Central,2025-10-01,e-2W,TVS,1487,148975,221525825
5133,14,Maharashtra,West,2026-05-01,e-2W,Ather,88,105897,9318936
5134,6,Goa,West,2025-11-01,e-2W,Tata,1527,134817,205865559
5135,30,Jammu and Kashmir,North,2025-11-01,e-3W,Hero,1421,388137,551542677
5136,27,Uttarakhand,North,2026-04-01,e-Truck,BYD,1002,2814391,2820019782
5137,18,Nagaland,Northeast,2026-03-01,e-2W,Hero,1648,98690,162641120
5138,21,Rajasthan,North,2025-03-01,e-2W,MG,1366,148462,202799092
5139,21,Rajasthan,North,2026-04-01,e-Truck,MG,1414,3193488,4515592032
5140,19,Odisha,East,2026-07-01,e-4W,MG,1161,1193896,1386113256
5141,30,Jammu and Kashmir,North,2025-04-01,e-4W,Tata,856,1888597,1616639032
5142,7,Gujarat,West,2025-04-01,e-2W,Bajaj,1431,108885,155814435
5143,4,Bihar,East,2026-07-01,e-2W,Tata,1189,129305,153743645
5144,30,Jammu and Kashmir,North,2025-11-01,e-2W,Ather,228,91120,20775360
5145,28,West Bengal,East,2025-03-01,e-3W,Tata,1254,376243,471808722
5146,10,Jharkhand,East,2026-03-01,e-2W,MG,1139,124205,141469495
5147,27,Uttarakhand,North,2025-07-01,e-Bus,MG,1125,6579430,7401858750
5148,28,West Bengal,East,2025-06-01,e-2W,Hyundai,412,101213,41699756
5149,7,Gujarat,West,2026-08-01,e-2W,Hyundai,1455,126523,184090965
5150,29,Delhi,North,2025-06-01,e-2W,MG,1506,149872,225707232
5151,10,Jharkhand,East,2025-06-01,e-4W,Hero,677,854062,578199974
5152,17,Mizoram,Northeast,2025-04-01,e-3W,MG,828,285723,236578644
5153,6,Goa,West,2026-06-01,e-4W,MG,333,2046091,681348303
5154,5,Chhattisgarh,Central,2026-06-01,e-2W,Tata,534,154181,82332654
5155,7,Gujarat,West,2026-01-01,e-3W,Hero,1047,283475,296798325
5156,9,Himachal Pradesh,North,2026-01-01,e-2W,Bajaj,555,139093,77196615
5157,5,Chhattisgarh,Central,2025-08-01,e-4W,Ola,822,1468460,1207074120
5158,17,Mizoram,Northeast,2025-04-01,e-2W,Hyundai,374,121024,45262976
5159,2,Arunachal Pradesh,Northeast,2026-08-01,e-2W,Mahindra,493,72581,35782433
5160,28,West Bengal,East,2025-12-01,e-4W,Ather,103,1595668,164353804
5161,10,Jharkhand,East,2025-01-01,e-2W,TVS,1379,102940,141954260
5162,21,Rajasthan,North,2025-10-01,e-4W,TVS,181,1669246,302133526
5163,13,Madhya Pradesh,Central,2025-02-01,e-Bus,Bajaj,466,3767633,1755716978
5164,12,Kerala,South,2025-07-01,e-2W,Ola,1600,113333,181332800
5165,2,Arunachal Pradesh,Northeast,2026-08-01,e-2W,BYD,388,90316,35042608
5166,7,Gujarat,West,2026-06-01,e-4W,MG,392,1450046,568418032
5167,23,Tamil Nadu,South,2025-01-01,e-2W,Bajaj,1401,102930,144204930
5168,16,Meghalaya,Northeast,2025-05-01,e-4W,Hero,200,1058234,211646800
5169,7,Gujarat,West,2025-10-01,e-Bus,Hero,1230,6749486,8301867780
5170,16,Meghalaya,Northeast,2026-07-01,e-4W,Hyundai,368,1706630,628039840
5171,11,Karnataka,South,2025-01-01,e-Truck,MG,1246,6062957,7554444422
5172,27,Uttarakhand,North,2025-04-01,e-4W,Tata,357,1252226,447044682
5173,25,Tripura,Northeast,2025-11-01,e-3W,Hero,722,307101,221726922
5174,5,Chhattisgarh,Central,2025-09-01,e-3W,Ola,1231,281489,346512959
5175,16,Meghalaya,Northeast,2026-05-01,e-Truck,Hero,1432,3855397,5520928504
5176,8,Haryana,North,2025-05-01,e-2W,Hyundai,142,158719,22538098
5177,15,Manipur,Northeast,2026-01-01,e-3W,Ola,1354,223162,302161348
5178,14,Maharashtra,West,2025-11-01,e-2W,Mahindra,1652,82916,136977232
5179,22,Sikkim,Northeast,2026-08-01,e-3W,Hero,1345,241192,324403240
5180,29,Delhi,North,2026-04-01,e-Bus,Ola,1408,2956104,4162194432
5181,28,West Bengal,East,2026-04-01,e-3W,Hero,33,201576,6652008
5182,29,Delhi,North,2026-07-01,e-2W,Bajaj,1007,97867,98552069
5183,27,Uttarakhand,North,2026-02-01,e-2W,Mahindra,1116,149732,167100912
5184,6,Goa,West,2025-06-01,e-4W,Hyundai,845,1382387,1168117015
5185,1,Andhra Pradesh,South,2025-01-01,e-2W,Ola,136,99299,13504664
5186,12,Kerala,South,2026-01-01,e-Bus,Hyundai,468,8842167,4138134156
5187,16,Meghalaya,Northeast,2025-08-01,e-2W,Hyundai,262,136830,35849460
5188,11,Karnataka,South,2025-05-01,e-3W,TVS,413,234225,96734925
5189,7,Gujarat,West,2025-07-01,e-Bus,Bajaj,26,3843054,99919404
5190,7,Gujarat,West,2025-04-01,e-3W,Ather,1672,362047,605342584
5191,3,Assam,Northeast,2026-04-01,e-4W,BYD,55,1283247,70578585
5192,19,Odisha,East,2025-11-01,e-4W,BYD,376,2180355,819813480
5193,18,Nagaland,Northeast,2026-06-01,e-2W,TVS,933,128901,120264633
5194,15,Manipur,Northeast,2025-07-01,e-2W,Tata,621,71620,44476020
5195,5,Chhattisgarh,Central,2025-02-01,e-4W,Mahindra,257,1572377,404100889
5196,20,Punjab,North,2025-02-01,e-2W,TVS,230,116202,26726460
5197,14,Maharashtra,West,2025-12-01,e-2W,Tata,1380,144233,199041540
5198,5,Chhattisgarh,Central,2026-01-01,e-2W,MG,1476,139603,206054028
5199,14,Maharashtra,West,2026-03-01,e-2W,Bajaj,701,133644,93684444
5200,17,Mizoram,Northeast,2025-12-01,e-Bus,Ola,94,3070217,288600398
5201,13,Madhya Pradesh,Central,2025-10-01,e-Bus,Tata,274,8937571,2448894454
5202,28,West Bengal,East,2026-08-01,e-Bus,Bajaj,831,3398628,2824259868
5203,10,Jharkhand,East,2025-01-01,e-2W,Bajaj,561,104929,58865169
5204,26,Uttar Pradesh,North,2025-02-01,e-Truck,TVS,449,4104310,1842835190
5205,9,Himachal Pradesh,North,2025-02-01,e-2W,MG,828,142255,117787140
5206,13,Madhya Pradesh,Central,2026-02-01,e-3W,Ola,1149,238026,273491874
5207,22,Sikkim,Northeast,2025-03-01,e-Truck,Hero,45,6179845,278093025
5208,17,Mizoram,Northeast,2025-10-01,e-4W,BYD,1527,959425,1465041975
5209,4,Bihar,East,2025-08-01,e-2W,Ather,575,131108,75387100
5210,2,Arunachal Pradesh,Northeast,2026-03-01,e-Truck,TVS,1319,3252242,4289707198
5211,27,Uttarakhand,North,2025-08-01,e-4W,Bajaj,46,1296649,59645854
5212,1,Andhra Pradesh,South,2026-07-01,e-Bus,Ather,1652,4821945,7965853140
5213,5,Chhattisgarh,Central,2025-10-01,e-4W,TVS,984,2041708,2009040672
5214,1,Andhra Pradesh,South,2025-11-01,e-4W,Ola,136,870534,118392624
5215,14,Maharashtra,West,2026-06-01,e-3W,Tata,1259,411322,517854398
5216,23,Tamil Nadu,South,2025-06-01,e-4W,Ather,1289,1688722,2176762658
5217,18,Nagaland,Northeast,2026-01-01,e-3W,Hyundai,1437,298454,428878398
5218,2,Arunachal Pradesh,Northeast,2026-01-01,e-Bus,Ather,1229,3482014,4279395206
5219,27,Uttarakhand,North,2025-06-01,e-2W,Hyundai,723,137906,99706038
5220,5,Chhattisgarh,Central,2025-01-01,e-4W,BYD,1618,757676,1225919768
5221,13,Madhya Pradesh,Central,2026-04-01,e-Truck,Ola,1142,4877026,5569563692
5222,15,Manipur,Northeast,2025-10-01,e-Bus,Ather,1763,5204114,9174852982
5223,23,Tamil Nadu,South,2025-02-01,e-4W,Tata,1275,1605721,2047294275
5224,21,Rajasthan,North,2025-03-01,e-4W,Ola,1436,860576,1235787136
5225,23,Tamil Nadu,South,2025-12-01,e-3W,Mahindra,1472,379294,558320768
5226,12,Kerala,South,2025-07-01,e-4W,BYD,1291,1077224,1390696184
5227,3,Assam,Northeast,2026-05-01,e-2W,TVS,692,125718,86996856
5228,25,Tripura,Northeast,2025-02-01,e-4W,BYD,558,1720004,959762232
5229,29,Delhi,North,2026-08-01,e-3W,Bajaj,57,380065,21663705
5230,25,Tripura,Northeast,2025-03-01,e-4W,Bajaj,838,2088427,1750101826
5231,19,Odisha,East,2025-03-01,e-3W,Ola,280,187957,52627960
5232,3,Assam,Northeast,2026-08-01,e-3W,Hyundai,1515,427541,647724615
5233,28,West Bengal,East,2026-04-01,e-2W,Ather,351,158780,55731780
5234,16,Meghalaya,Northeast,2026-03-01,e-3W,BYD,1019,240091,244652729
5235,22,Sikkim,Northeast,2026-04-01,e-4W,Mahindra,1323,2046649,2707716627
5236,26,Uttar Pradesh,North,2026-06-01,e-3W,Tata,776,394168,305874368
5237,26,Uttar Pradesh,North,2026-02-01,e-3W,TVS,177,449670,79591590
5238,30,Jammu and Kashmir,North,2026-02-01,e-2W,Mahindra,1531,141185,216154235
5239,27,Uttarakhand,North,2025-06-01,e-4W,Hero,632,2003369,1266129208
5240,29,Delhi,North,2026-05-01,e-2W,Mahindra,1315,159826,210171190
5241,17,Mizoram,Northeast,2026-06-01,e-2W,MG,1027,145536,149465472
5242,9,Himachal Pradesh,North,2025-06-01,e-3W,Bajaj,122,250400,30548800
5243,14,Maharashtra,West,2025-07-01,e-2W,Ather,653,159630,104238390
5244,4,Bihar,East,2026-04-01,e-2W,MG,1746,150373,262551258
5245,5,Chhattisgarh,Central,2025-09-01,e-4W,BYD,339,1713845,580993455
5246,28,West Bengal,East,2025-03-01,e-2W,BYD,452,114527,51766204
5247,5,Chhattisgarh,Central,2026-03-01,e-Bus,MG,1662,3970851,6599554362
5248,6,Goa,West,2026-07-01,e-3W,BYD,1547,188314,291321758
5249,18,Nagaland,Northeast,2026-06-01,e-2W,Mahindra,1757,144632,254118424
5250,21,Rajasthan,North,2025-07-01,e-2W,Mahindra,1455,111034,161554470
5251,16,Meghalaya,Northeast,2026-08-01,e-2W,Bajaj,837,87558,73286046
5252,25,Tripura,Northeast,2026-07-01,e-3W,MG,680,269031,182941080
5253,6,Goa,West,2026-02-01,e-3W,TVS,631,328878,207522018
5254,30,Jammu and Kashmir,North,2026-02-01,e-2W,Ather,996,112399,111949404
5255,24,Telangana,South,2025-06-01,e-4W,Bajaj,1090,703285,766580650
5256,11,Karnataka,South,2025-08-01,e-4W,MG,1717,1801595,3093338615
5257,28,West Bengal,East,2025-08-01,e-3W,MG,1280,187642,240181760
5258,30,Jammu and Kashmir,North,2025-08-01,e-2W,Ather,706,124712,88046672
5259,28,West Bengal,East,2025-07-01,e-2W,Hyundai,495,130926,64808370
5260,10,Jharkhand,East,2026-06-01,e-2W,Hero,428,120182,51437896
5261,26,Uttar Pradesh,North,2026-08-01,e-2W,MG,399,144599,57695001
5262,10,Jharkhand,East,2026-07-01,e-4W,Hyundai,1347,816908,1100375076
5263,14,Maharashtra,West,2025-12-01,e-3W,BYD,1082,243079,263011478
5264,27,Uttarakhand,North,2026-03-01,e-Truck,MG,771,6532369,5036456499
5265,12,Kerala,South,2025-06-01,e-2W,TVS,1264,73293,92642352
5266,8,Haryana,North,2025-05-01,e-4W,Tata,642,1367538,877959396
5267,11,Karnataka,South,2026-08-01,e-2W,Bajaj,1595,137359,219087605
5268,24,Telangana,South,2025-03-01,e-Truck,TVS,1506,5346434,8051729604
5269,14,Maharashtra,West,2025-02-01,e-2W,Tata,1694,129055,218619170
5270,14,Maharashtra,West,2025-06-01,e-3W,Tata,440,312903,137677320
5271,1,Andhra Pradesh,South,2026-03-01,e-3W,BYD,1417,424744,601862248
5272,26,Uttar Pradesh,North,2025-05-01,e-2W,Ather,134,146920,19687280
5273,10,Jharkhand,East,2025-09-01,e-Truck,Ola,214,3534872,756462608
5274,4,Bihar,East,2025-07-01,e-3W,Ather,1761,281735,496135335
5275,3,Assam,Northeast,2026-01-01,e-4W,Ather,1278,2122415,2712446370
5276,1,Andhra Pradesh,South,2025-07-01,e-3W,MG,659,250198,164880482
5277,13,Madhya Pradesh,Central,2026-01-01,e-4W,MG,1335,1805323,2410106205
5278,28,West Bengal,East,2026-03-01,e-2W,Bajaj,482,153488,73981216
5279,13,Madhya Pradesh,Central,2026-01-01,e-4W,Bajaj,259,2125036,550384324
5280,19,Odisha,East,2025-03-01,e-Bus,Ather,858,4645265,3985637370
5281,17,Mizoram,Northeast,2026-08-01,e-4W,TVS,356,1311709,466968404
5282,28,West Bengal,East,2025-10-01,e-3W,Mahindra,1619,437137,707724803
5283,24,Telangana,South,2025-08-01,e-2W,TVS,1224,140248,171663552
5284,17,Mizoram,Northeast,2026-03-01,e-2W,Ola,707,116936,82673752
5285,26,Uttar Pradesh,North,2025-12-01,e-3W,Ather,1206,331733,400069998
5286,25,Tripura,Northeast,2026-08-01,e-4W,Hyundai,413,2151508,888572804
5287,5,Chhattisgarh,Central,2025-09-01,e-Truck,Hyundai,240,2585786,620588640
5288,19,Odisha,East,2026-02-01,e-4W,Ola,709,2101959,1490288931
5289,12,Kerala,South,2025-02-01,e-2W,TVS,909,133600,121442400
5290,22,Sikkim,Northeast,2025-03-01,e-2W,Mahindra,1255,71067,89189085
5291,20,Punjab,North,2026-06-01,e-4W,MG,238,952773,226759974
5292,4,Bihar,East,2025-05-01,e-4W,MG,891,802951,715429341
5293,21,Rajasthan,North,2026-07-01,e-3W,TVS,322,436682,140611604
5294,14,Maharashtra,West,2025-01-01,e-2W,Hero,808,152212,122987296
5295,17,Mizoram,Northeast,2025-07-01,e-2W,Bajaj,909,123015,111820635
5296,13,Madhya Pradesh,Central,2026-07-01,e-4W,MG,363,1491841,541538283
5297,7,Gujarat,West,2026-03-01,e-3W,BYD,1589,206442,328036338
5298,17,Mizoram,Northeast,2025-12-01,e-4W,Ather,986,1481608,1460865488
5299,6,Goa,West,2025-07-01,e-Bus,BYD,345,3699728,1276406160
5300,29,Delhi,North,2025-07-01,e-Truck,Tata,1780,2316576,4123505280
5301,13,Madhya Pradesh,Central,2025-05-01,e-4W,Tata,1095,773704,847205880
5302,23,Tamil Nadu,South,2026-02-01,e-4W,MG,1016,1913013,1943621208
5303,23,Tamil Nadu,South,2025-05-01,e-2W,Hero,1049,157700,165427300
5304,23,Tamil Nadu,South,2025-07-01,e-2W,Ather,289,152999,44216711
5305,20,Punjab,North,2025-08-01,e-3W,Hero,1516,227456,344823296
5306,18,Nagaland,Northeast,2026-02-01,e-2W,Mahindra,160,134800,21568000
5307,15,Manipur,Northeast,2026-07-01,e-4W,Tata,1649,2050093,3380603357
5308,8,Haryana,North,2026-05-01,e-3W,Ola,467,389097,181708299
5309,4,Bihar,East,2025-12-01,e-2W,Tata,42,145930,6129060
5310,6,Goa,West,2026-06-01,e-4W,Ola,1643,863543,1418801149
5311,22,Sikkim,Northeast,2025-03-01,e-3W,Hero,1359,383299,520903341
5312,18,Nagaland,Northeast,2025-07-01,e-3W,Hero,1335,222782,297413970
5313,24,Telangana,South,2025-09-01,e-Bus,Ola,1296,7507106,9729209376
5314,3,Assam,Northeast,2025-11-01,e-3W,MG,647,368206,238229282
5315,18,Nagaland,Northeast,2026-08-01,e-3W,Hero,533,418634,223131922
5316,5,Chhattisgarh,Central,2025-11-01,e-3W,TVS,395,215282,85036390
5317,21,Rajasthan,North,2025-04-01,e-2W,Hyundai,809,155395,125714555
5318,5,Chhattisgarh,Central,2025-11-01,e-2W,MG,330,116540,38458200
5319,16,Meghalaya,Northeast,2025-06-01,e-4W,Ola,1540,1919748,2956411920
5320,7,Gujarat,West,2025-10-01,e-2W,Hero,958,125283,120021114
5321,26,Uttar Pradesh,North,2026-07-01,e-2W,Hyundai,1296,158697,205671312
5322,27,Uttarakhand,North,2025-09-01,e-3W,Hyundai,129,275872,35587488
5323,28,West Bengal,East,2025-08-01,e-2W,Bajaj,924,104815,96849060
5324,6,Goa,West,2026-07-01,e-4W,Mahindra,258,1966560,507372480
5325,22,Sikkim,Northeast,2025-05-01,e-2W,Hyundai,211,146349,30879639
5326,28,West Bengal,East,2026-06-01,e-2W,MG,221,112487,24859627
5327,29,Delhi,North,2025-02-01,e-2W,Hero,1613,126866,204634858
5328,21,Rajasthan,North,2025-09-01,e-2W,Ather,460,141492,65086320
5329,23,Tamil Nadu,South,2025-12-01,e-3W,Tata,1660,392854,652137640
5330,1,Andhra Pradesh,South,2026-07-01,e-4W,BYD,1330,1299559,1728413470
5331,28,West Bengal,East,2025-04-01,e-4W,Hero,1513,1290642,1952741346
5332,5,Chhattisgarh,Central,2026-06-01,e-4W,Hyundai,1722,776675,1337434350
5333,10,Jharkhand,East,2025-09-01,e-Truck,Hyundai,129,5105141,658563189
5334,1,Andhra Pradesh,South,2026-01-01,e-2W,Tata,611,80974,49475114
5335,17,Mizoram,Northeast,2025-02-01,e-2W,Bajaj,1694,125612,212786728
